0 13304
6076 -5616 19012
160 -3912 19644
2788 -10268 18132
5656 -5136 11752
4292 -7176 16320
1440 -4168 12316
4268 -4828 15116
2932 -5532 17016
3124 -8596 12392
7496 -2832 10964
7800 -3252 11344
6228 -3472 10320
3000 -5232 12268
6372 -9544 15128
1552 -5444 14408
4636 -3380 10124
3632 -7040 18268
988 -10944 12900
2120 -11328 15428
5320 -3780 11072
1828 -2232 11616
5004 -5492 18460
3724 -7888 10584
4744 -6056 14204
3176 -4580 14944
3212 -5420 13680
7224 -6216 9972
1920 -4508 10492
-912 -9356 15732
6512 -5132 12980
2392 -3496 12056
3592 -4704 15048
3800 -7188 14988
1828 -4804 12572
6212 -4900 15380
996 -5516 12436
6036 -6432 20712
40 -11000 22024
1644 -3452 19960
6288 20 14864
664 -800 12828
1116 -4160 20032
6892 -5748 14376
2400 -6184 12384
3576 -2480 12144
2216 -3132 18760
1144 -6820 17024
1888 -4064 12112
4604 -4648 18492
4452 -4536 17368
5124 -7028 10532
8784 -848 7508
-856 -5680 12480
3132 -9940 19788
7288 -5404 15696
3876 -2348 18908
5040 -8912 19076
3940 -6228 16872
-3816 -5012 21872
376 -13584 18352
8076 -6204 6572
1628 -3768 7124
-4648 -5444 22536
7164 -6288 22008
6440 -2872 6720
3636 368 7160
4400 -6528 22620
2704 -11432 18904
1416 -8016 13856
5840 -3344 15348
7012 -2256 10448
3876 -8592 15564
8500 -9852 14800
3248 -5016 10768
6604 -8292 12168
-1484 -8840 19688
5164 -3344 10732
6272 -1452 5216
-5504 -5048 17288
-1464 -8152 21580
420 -3360 13916
4872 -416 11700
3872 -948 14112
2496 -11284 17668
9580 -6816 17856
8744 3200 9160
5280 -3476 8452
9544 -10852 15708
2192 -11984 11544
9372 -14348 17660
4300 -6840 16328
-572 -6436 18892
-844 -3520 17524
-664 -11404 16724
11284 -8444 13396
10364 8624 1668
2848 2036 10012
-1576 -12144 22152
5752 -5584 15652
-852 4388 12380
7116 -1788 17468
-1964 -11448 16064
3020 -19100 16948
5136 -5000 11828
9284 1156 6504
-2376 -4464 17396
816 -13488 25296
2684 -4440 12896
4324 -1488 10536
3512 -3440 13628
1164 -11632 12924
3372 -6988 7264
5584 196 11372
-4428 -9240 19732
8908 -6332 16944
6384 736 10204
1880 -4948 11852
4824 -6120 12752
1384 -2676 16836
3668 -3304 16244
4960 -5868 14356
7084 -7684 12760
3644 -5748 11548
-1120 -6956 15944
8308 -8184 11140
